arm,alpha,unit,density_run,beam,algo,beam_IoU,exact_IoU,beam_cov,exact_cov,no_solution,same_mask,beam_visited,exact_visited,beam_expanded,exact_expanded,beam_time_s,exact_time_s,beam_halted,exact_halted,beam_formula,exact_formula
trained,0.05,unit395,0.04992,25,beam_optimal,0.0954,0.0954,0.2495,0.2495,0,1,284,585,36,477,0.05,1.04,no,no,((const=NP AND (NOT const=VP)) AND (NOT tag=DT)),((const=NP AND (NOT const=VP)) AND (NOT tag=DT))
trained,0.05,unit395,0.04992,50,beam_optimal,0.0954,0.0954,0.2495,0.2495,0,1,405,585,59,477,0.08,1.04,no,no,((const=NP AND (NOT const=VP)) AND (NOT tag=DT)),((const=NP AND (NOT const=VP)) AND (NOT tag=DT))
trained,0.05,unit395,0.04992,100,beam_optimal,0.0954,0.0954,0.2495,0.2495,0,1,703,585,108,477,0.16,1.04,no,no,((const=NP AND (NOT const=VP)) AND (NOT tag=DT)),((const=NP AND (NOT const=VP)) AND (NOT tag=DT))
trained,0.05,unit395,0.04992,200,beam_optimal,0.0954,0.0954,0.2495,0.2495,0,1,942,585,200,477,0.26,1.04,no,no,((const=NP AND (NOT const=VP)) AND (NOT tag=DT)),((const=NP AND (NOT const=VP)) AND (NOT tag=DT))
trained,0.05,unit412,0.04992,5,beam_optimal,0.0981,0.0981,0.1037,0.1037,0,1,90,575,14,465,0.02,0.88,no,no,((lemma=. OR tag=IN) AND (NOT const=VP)),((tag=IN AND (NOT const=VP)) OR lemma=.)
trained,0.05,unit412,0.04992,10,beam_optimal,0.0981,0.0981,0.1037,0.1037,0,1,116,575,21,465,0.02,0.88,no,no,((lemma=. OR tag=IN) AND (NOT const=VP)),((tag=IN AND (NOT const=VP)) OR lemma=.)
trained,0.05,unit412,0.04992,25,beam_optimal,0.0981,0.0981,0.1037,0.1037,0,1,238,575,34,465,0.04,0.88,no,no,((lemma=. OR tag=IN) AND (NOT const=VP)),((tag=IN AND (NOT const=VP)) OR lemma=.)
trained,0.05,unit412,0.04992,50,beam_optimal,0.0981,0.0981,0.1037,0.1037,0,1,468,575,59,465,0.08,0.88,no,no,((lemma=. OR tag=IN) AND (NOT const=VP)),((tag=IN AND (NOT const=VP)) OR lemma=.)
trained,0.05,unit412,0.04992,100,beam_optimal,0.0981,0.0981,0.1037,0.1037,0,1,753,575,107,465,0.16,0.88,no,no,((lemma=. OR tag=IN) AND (NOT const=VP)),((tag=IN AND (NOT const=VP)) OR lemma=.)
trained,0.05,unit412,0.04992,200,beam_optimal,0.0981,0.0981,0.1037,0.1037,0,1,970,575,201,465,0.26,0.88,no,no,((lemma=. OR tag=IN) AND (NOT const=VP)),((tag=IN AND (NOT const=VP)) OR lemma=.)
untrained,0.2,unit88,0.19997,5,beam_optimal,0.2338,0.2388,0.6217,0.7832,0,0,171,717,15,497,0.03,1.39,no,no,((const=NP AND (NOT lemma=a)) OR dep=ROOT),((const=NP OR const=VP) AND (NOT lemma=a))
untrained,0.2,unit88,0.19997,10,beam_optimal,0.2388,0.2388,0.7832,0.7832,0,1,248,717,25,497,0.04,1.39,no,no,((const=VP OR const=NP) AND (NOT lemma=a)),((const=NP OR const=VP) AND (NOT lemma=a))
